"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2024","Mercer",67.4671,244,66.1581,268,104.221,204,104.413,214,107.569,245,108.352,217,-3.93916,209
"2024","Merrimack",68.0592,204,67.4369,188,98.6477,302,96.8457,325,94.1196,4,100.871,79,-4.02556,212
"2024","Miami FL",69.9598,94,68.6183,113,107.312,133,111.218,88,105.4,188,103.05,112,8.16763,96
"2024","Miami OH",67.7975,221,67.4636,184,101.034,263,99.7617,294,104.115,153,106.742,184,-6.98053,257
"2024","Michigan",68.8936,147,67.4953,180,104.381,202,110.57,95,113.57,345,106.674,182,3.89587,128
"2024","Michigan St.",66.3831,286,65.3426,309,109.268,97,114.265,49,99.4727,37,93.6817,9,20.583,16
"2024","Middle Tennessee",66.5181,278,65.6035,297,94.7268,343,98.0668,311,105.129,181,106.888,186,-8.82127,282
"2024","Milwaukee",70.5162,67,70.2255,52,109.857,83,107.953,143,110.742,310,112.554,313,-4.60031,222
"2024","Minnesota",67.7428,222,66.6473,244,110.17,74,113.601,58,106.031,209,103.207,115,10.3944,78
"2024","Mississippi",68.5871,161,66.9446,223,109.234,98,113.881,54,107.724,250,104.524,141,9.35719,86
"2024","Mississippi St.",68.696,156,67.083,210,107.38,129,112.98,73,100.374,54,95.9126,22,17.067,34
"2024","Mississippi Valley St.",66.2355,297,64.7278,328,83.2947,362,85.4868,362,117.21,359,116.318,353,-30.8317,362
"2024","Missouri",68.4553,178,66.6678,239,104.992,186,108.435,136,110.737,309,106.647,181,1.78786,145
"2024","Missouri St.",68.4667,174,67.8587,157,102.483,243,104.501,211,102.828,113,102.892,110,1.60896,149
"2024","Monmouth",68.1049,199,67.8645,156,106.112,157,105.734,186,106.721,222,108.559,221,-2.82497,198
"2024","Montana",66.3989,284,66.2926,261,112.341,40,110.593,93,108.3,258,110.762,267,-0.168407,163
"2024","Montana St.",69.1205,134,68.9514,97,105.18,182,103.538,225,106.163,211,108.192,215,-4.65409,223
"2024","Morehead St.",65.6641,321,64.3143,337,110.507,67,109.131,123,100.652,61,103.983,129,5.14761,116
"2024","Morgan St.",71.1167,51,70.8734,37,97.1374,320,97.3838,318,111.818,327,114.181,338,-16.7972,334
"2024","Mount St. Mary's",69.3752,121,69.1511,89,103.471,218,102.455,246,102.302,101,108.706,228,-6.25094,249
"2024","Murray St.",65.2346,337,64.4663,335,105.345,174,107.43,150,107.097,233,106.911,188,0.519084,160
"2024","N.C. State",68.5446,168,68.0101,150,109.046,101,114.319,48,103.547,137,98.4174,38,15.9019,45
"2024","Navy",65.4328,329,65.6121,296,99.4915,289,96.7859,326,103.049,118,111.086,279,-14.3001,323
"2024","Nebraska",69.3908,119,68.98,95,110.993,57,116.203,32,101.211,76,98.6553,43,17.5474,30
"2024","Nebraska Omaha",67.5068,240,67.4425,187,106.235,151,103.913,222,109.377,281,111.085,278,-7.17199,260
"2024","Nevada",66.9257,268,66.7693,235,112.409,38,115.033,41,100.059,48,98.6202,42,16.4131,40
"2024","New Hampshire",72.9443,17,71.4862,25,99.6241,285,100.033,290,102.858,114,105.98,172,-5.947,246
"2024","New Mexico",72.385,23,72.8068,9,111.66,48,114.437,47,98.4642,30,96.6401,23,17.7965,29
"2024","New Mexico St.",68.0966,200,66.2599,263,95.4164,334,99.3668,299,109.383,282,109.348,241,-9.98161,290
"2024","New Orleans",72.1001,28,71.5875,21,97.7346,314,97.836,315,113.048,339,116.17,352,-18.3343,342
"2024","Niagara",67.6009,234,67.4212,190,104.173,206,103.264,235,105.751,198,111.41,286,-8.14644,272
"2024","Nicholls St.",67.4371,248,66.2965,260,104.626,195,104.457,212,107.326,240,109.889,248,-5.43161,234
"2024","NJIT",68.3088,188,66.3226,259,96.2518,330,97.4511,317,111.259,319,114.482,343,-17.0307,335
"2024","Norfolk St.",67.2194,258,66.3358,258,105.056,184,104.26,217,101.929,91,108.673,224,-4.41212,219
"2024","North Alabama",68.5866,162,67.8889,155,107.548,123,105.711,188,110.702,308,112.116,301,-6.40539,252
"2024","North Carolina",71.2847,47,70.6419,41,114.507,20,119.708,15,98.4514,29,93.519,8,26.1893,9
"2024","North Carolina A&T",68.0051,210,67.7741,160,96.2906,329,96.0218,333,114.238,350,115.447,349,-19.4257,346
"2024","North Carolina Central",67.1466,260,66.663,240,106.024,161,104.955,203,104.59,170,111.573,291,-6.61806,253
"2024","North Dakota",67.845,217,66.752,236,108.147,116,105.376,194,108.595,268,110.858,272,-5.48222,236
"2024","North Dakota St.",65.9505,307,65.7314,284,105.767,166,103.981,220,112.592,334,112.524,311,-8.54329,279
"2024","North Florida",68.7676,153,67.1543,206,109.067,100,107.12,159,111.358,321,112.73,318,-5.61074,240
"2024","North Texas",62.8673,360,61.8462,360,108.281,111,110.276,102,101.558,83,99.4419,52,10.8339,74
"2024","Northeastern",65.8133,314,65.826,279,105.576,170,105.314,195,110.189,297,111.602,292,-6.28801,250
